,url_domain,n_high_viewers
0,youtube.com,172.0
1,facebook.com,59.0
2,npr.org,58.0
3,nytimes.com,37.0
4,washingtonpost.com,31.0
5,dailywire.com,25.0
6,cnn.com,20.0
7,amazon.com,20.0
8,msnbc.com,19.0
9,foxnews.com,14.0
10,newsandguts.com,12.0
11,iflscience.com,12.0
12,buzzfeed.com,10.0
13,theblaze.com,9.0
14,huffpost.com,9.0
15,thehill.com,9.0
16,bbc.com,7.0
17,ranker.com,7.0
18,nbcnews.com,7.0
19,theonion.com,7.0
20,abcnews.go.com,7.0
21,westernjournal.com,6.0
22,axios.com,6.0
23,swagbucks.com,6.0
24,breitbart.com,6.0
