,url_domain,frac_high_viewers
0,dailywire.com,0.11949685534591195
1,npr.org,0.08789625360230548
2,thedenverchannel.com,0.07317073170731707
3,westernjournal.com,0.072
4,nytimes.com,0.06528662420382166
5,msnbc.com,0.06093189964157706
6,newsmax.com,0.06060606060606061
7,syracuse.com,0.058823529411764705
8,wral.com,0.057692307692307696
9,clickondetroit.com,0.05128205128205128
10,breitbart.com,0.043478260869565216
11,oregonlive.com,0.039603960396039604
12,fox2detroit.com,0.0392156862745098
13,fox32chicago.com,0.037037037037037035
14,aljazeera.com,0.03614457831325301
15,9news.com,0.03508771929824561
16,abc15.com,0.034482758620689655
17,democracynow.org,0.03389830508474576
18,theblaze.com,0.033112582781456956
19,ktla.com,0.03225806451612903
20,post-gazette.com,0.03125
21,fox5atlanta.com,0.029411764705882353
22,washingtonpost.com,0.02922077922077922
23,cnn.com,0.028875379939209727
24,foxnews.com,0.027190332326283987
25,nbcnews.com,0.025757575757575757
26,local10.com,0.02564102564102564
27,kare11.com,0.023809523809523808
28,redstate.com,0.023809523809523808
29,aol.com,0.023809523809523808
30,6abc.com,0.023255813953488372
31,king5.com,0.023255813953488372
32,mlive.com,0.022727272727272728
33,kcra.com,0.022727272727272728
34,sltrib.com,0.022727272727272728
35,wptv.com,0.022727272727272728
36,americanindependent.com,0.022222222222222223
37,abc7news.com,0.022222222222222223
38,fox5sandiego.com,0.022222222222222223
39,wkyc.com,0.021739130434782608
40,thehill.com,0.021739130434782608
41,click2houston.com,0.021739130434782608
42,pix11.com,0.021739130434782608
43,stltoday.com,0.021739130434782608
44,abc13.com,0.021505376344086023
45,pjmedia.com,0.020833333333333332
46,kansascity.com,0.020833333333333332
47,nbcphiladelphia.com,0.020833333333333332
48,economist.com,0.02040816326530612
49,katu.com,0.02
